name,link,category
JetBrain Font,https://www.jetbrains.com/lp/mono/#how-to-install,utils
Evil Martians,https://evilmartians.com/chronicles,blog
AWS Diagrams,https://www.awsgeek.com/index.html,cool
Geeks for Geeks,https://www.geeksforgeeks.org/,blog
Sans Forgetica: A font to learn,http://sansforgetica.rmit,utils
Unplash - Great images!,https://unsplash.com,utils
Pexels,https://www.pexels.com/es-es/,utils
Pixabay,https://pixabay.com/,utils
DB Diagrams with code,https://dbdiagram.io/home,utils
MailTrap: Test Emails,https://mailtrap.io,utils
3D SVG,https://zzz.dog,cool
Undraw: Illustrations,https://undraw.co/illustrations,utils
State of CSS,https://stateofcss.com,learn
Blob Maker,https://www.blobmaker.app,utils
Pattern Generator,http://www.heropatterns.com,utils
Font Pair,https://fontpair.co/#sansserif-sansserif,utils
Storybook,https://storybook.js.org,utils
Remove Image Bg,https://www.remove.bg,utils
render,https://render.com,server
Collect UI,https://collectui.com/designs,design
Exercism,https://exercism.io/#explore-languages,challenge
SourceMaking: Good Software Architecture,https://sourcemaking.com/design_patterns,blog
HTTP Status,https://httpstatuses.com/,utils
webdev,https://web.dev/,utils
Jupyter,https://jupyter.org/,utils